Date,Number_of_tweet,exchange,open,high,low,close,volume,trade_count,vwap,symbol,nasdaq,spx,Ethereum Market Cap,Next_day_price
2016-09-27,4,CBSE,13.01,13.25,12.95,13.09,23212.41018,2995,13.11050978,ETHUSD,5305.71,2159.93,1103562692,13
2016-09-28,4,CBSE,13.4,13.49,13.26,13.32,26049.51521,3340,13.3407602,ETHUSD,5318.55,2171.37,1124190331,13.09
2016-09-29,3,CBSE,13.11,13.16,13.09,13.11,7468.785535,1297,13.1130969,ETHUSD,5269.15,2151.13,1106268658,13.32
2016-09-30,8,CBSE,13.11,13.39,13.08,13.23,25549.64453,2926,13.29926484,ETHUSD,5312,2168.27,1114978390,13.11
2016-10-03,10,CBSE,13.52,13.53,13.4,13.46,9248.974148,702,13.48997192,ETHUSD,5300.87,2161.2,1139675568,13.27
2016-10-04,6,CBSE,13.34,13.39,13.23,13.3,5847.056165,947,13.31909878,ETHUSD,5289.66,2150.49,1122448916,13.46
2016-10-05,2,CBSE,13.29,13.45,13.08,13.09,31125.37139,3509,13.254664,ETHUSD,5316.02,2159.73,1105495725,13.3
2016-10-06,8,CBSE,12.88,13.08,12.85,13.03,5161.725128,865,12.98372771,ETHUSD,5306.85,2160.77,1086400169,13.09
2016-10-07,6,CBSE,12.7,12.74,12.65,12.68,3687.049487,461,12.70165634,ETHUSD,5292.4,2153.74,1072424202,13.03
2016-10-10,10,CBSE,11.78,12.24,11.76,12.09,9840.107846,853,12.02496431,ETHUSD,5328.67,2163.66,1004236336,12.1
2016-10-11,4,CBSE,11.77,11.85,11.73,11.8,4233.584907,779,11.78699627,ETHUSD,5246.79,2136.73,997294452.4,12.09
2016-10-12,5,CBSE,11.92,12.11,11.82,12.03,9824.931307,755,12.00108173,ETHUSD,5239.02,2139.18,1006549794,11.8
2016-10-13,5,CBSE,11.88,12.06,11.88,12.05,5612.102541,954,11.99818934,ETHUSD,5213.33,2132.55,1015964124,12.03
2016-10-14,10,CBSE,11.91,11.95,11.86,11.88,3917.446833,2611,11.90673212,ETHUSD,5214.16,2132.98,1012567916,12.05
2016-10-17,4,CBSE,11.87,11.99,11.83,11.96,23233.2112,4015,11.90816352,ETHUSD,5199.82,2126.5,1018744183,11.95
2016-10-18,11,CBSE,12.55,12.65,12.45,12.47,6367.937916,832,12.52444522,ETHUSD,5243.84,2139.6,1064628048,11.96
2016-10-19,4,CBSE,12.01,12.26,12,12.12,4549.801106,1103,12.17516254,ETHUSD,5246.41,2144.29,1019440134,12.47
2016-10-20,3,CBSE,12.1,12.2,11.92,12.06,25708.97256,3440,12.05339577,ETHUSD,5241.83,2141.34,1023487873,12.12
2016-10-21,3,CBSE,12.05,12.13,11.98,12.12,4342.724163,1047,12.05383249,ETHUSD,5257.4,2141.16,1030182193,12.06
2016-10-24,3,CBSE,11.91,11.95,11.53,11.53,18339.03706,2366,11.8169268,ETHUSD,5309.83,2151.33,1014274172,12.03
2016-10-25,5,CBSE,11.32,11.62,11.32,11.41,6821.754342,1695,11.52086341,ETHUSD,5283.4,2143.16,961902672.7,11.53
2016-10-26,10,CBSE,11.49,11.57,11.37,11.52,11446.86643,1880,11.46485521,ETHUSD,5250.27,2139.43,981270911.3,11.41
2016-10-27,4,CBSE,11.52,11.55,11.22,11.48,31594.68723,4284,11.41194382,ETHUSD,5215.97,2133.04,978335224.2,11.52
2016-10-28,2,CBSE,11.14,11.35,10.92,11.09,10860.07743,1925,11.09896943,ETHUSD,5190.1,2126.41,984269328.4,11.48
2016-10-31,2,CBSE,10.97,11.24,10.68,10.78,20825.49566,2631,10.84818708,ETHUSD,5189.13,2126.15,930359100.2,11.26
2016-11-01,4,CBSE,10.84,11.09,10.76,10.94,9003.326018,1710,10.96411346,ETHUSD,5153.58,2111.72,923284106.1,10.78
2016-11-02,3,CBSE,10.82,10.93,10.77,10.88,9336.063194,1477,10.8530316,ETHUSD,5105.57,2097.94,922879134.3,10.94
2016-11-03,6,CBSE,10.87,11.05,10.81,10.97,7062.485439,1554,10.9575206,ETHUSD,5058.41,2088.66,925622888.1,10.88
2016-11-04,6,CBSE,11.16,11.24,11.02,11.04,8479.466662,1456,11.14211219,ETHUSD,5046.37,2085.18,953223436.3,10.97
2016-11-07,2,CBSE,10.93,11.01,10.9,10.92,8263.748086,2160,10.94440151,ETHUSD,5166.17,2131.52,932357915.6,11.03
2016-11-08,2,CBSE,10.83,10.86,10.28,10.52,34003.33358,1688,10.53656743,ETHUSD,5193.49,2139.56,934033643.9,10.92
2016-11-09,2,CBSE,10.64,10.67,10.53,10.65,5717.253552,674,10.60254783,ETHUSD,5251.07,2163.26,915091038.3,10.52
2016-11-10,5,CBSE,10.51,10.72,10.26,10.42,17317.5996,3462,10.47751752,ETHUSD,5208.8,2167.48,902927283.2,10.65
2016-11-11,4,CBSE,10.29,10.29,10.13,10.2,7261.863892,593,10.19578479,ETHUSD,5237.11,2164.45,883831055.8,10.42
2016-11-14,7,CBSE,10.17,10.18,9.93,10.02,20327.11447,3755,10.03678929,ETHUSD,5218.4,2164.2,858907304.3,10.19
2016-11-15,10,CBSE,10.27,10.42,10.2,10.24,9658.215078,1127,10.31998616,ETHUSD,5275.62,2180.39,877146449.8,10.02
2016-11-16,7,CBSE,10,10.11,9.9,9.9,10715.41351,1904,10.00681266,ETHUSD,5294.58,2176.94,862443066.9,10.24
2016-11-17,6,CBSE,9.9,9.97,9.88,9.94,5546.824127,746,9.935702305,ETHUSD,5333.97,2187.12,857469645,9.9
2016-11-18,6,CBSE,9.51,9.65,9.45,9.65,6544.13194,837,9.545681641,ETHUSD,5321.51,2181.9,813868305.4,9.94
2016-11-21,11,CBSE,9.62,9.65,9.41,9.54,26135.55607,2588,9.540858833,ETHUSD,5368.86,2198.18,825310560.9,9.61
2016-11-22,5,CBSE,9.87,9.93,9.78,9.8,6691.02389,1793,9.869324533,ETHUSD,5386.35,2202.94,846010291.5,9.54
2016-11-23,10,CBSE,9.8,9.82,9.75,9.76,2787.399839,1249,9.797681195,ETHUSD,5380.68,2204.72,841238275.5,9.8
2016-11-25,14,CBSE,9.42,9.48,9.33,9.39,4232.011115,686,9.407167019,ETHUSD,5398.92,2213.35,805772134.2,9.27
2016-11-28,8,CBSE,8.67,8.72,8.42,8.46,20177.90785,1603,8.568716117,ETHUSD,5368.81,2201.72,752553451.4,8.98
2016-11-29,9,CBSE,8.14,8.38,8.14,8.31,10339.23209,1322,8.249618655,ETHUSD,5379.92,2204.66,705297428,8.46
2016-11-30,10,CBSE,8.28,8.75,8.25,8.61,47104.44583,6669,8.546330181,ETHUSD,5323.68,2198.81,748071852.9,8.31
2016-12-01,10,CBSE,8.46,8.46,8.14,8.14,18343.68937,1488,8.229400288,ETHUSD,5251.11,2191.08,730151014.2,8.61
2016-12-02,5,CBSE,7.73,8,7.34,8,18496.04643,860,7.795895621,ETHUSD,5255.65,2191.95,661018149.2,8.14
2016-12-05,13,CBSE,7.53,7.55,6.56,6.75,78843.30429,2930,7.030987385,ETHUSD,5308.89,2204.71,590496504.2,7.54
2016-12-06,14,CBSE,7.83,7.83,7.33,7.57,21581.78776,938,7.580475834,ETHUSD,5333,2212.23,661467705.6,6.75
2016-12-07,7,CBSE,8.35,8.68,8.33,8.64,19846.04686,2078,8.556627628,ETHUSD,5393.76,2241.35,705334665.7,7.57
2016-12-08,4,CBSE,8.21,8.45,7.97,8.21,22051.54541,1183,8.175576027,ETHUSD,5417.36,2246.19,720121915.7,8.64
2016-12-09,7,CBSE,8.46,8.55,8.4,8.5,7566.109463,937,8.459624862,ETHUSD,5444.5,2259.53,737938568.3,8.21
2016-12-12,10,CBSE,8.53,8.57,8.42,8.47,9625.08598,849,8.519109611,ETHUSD,5412.54,2256.96,735934880.9,8.28
2016-12-13,22,CBSE,8.4,8.48,8.4,8.45,6762.948102,874,8.451068445,ETHUSD,5463.83,2271.72,725643347.5,8.47
2016-12-14,22,CBSE,8.24,8.32,8.07,8.23,20073.42658,1808,8.191115103,ETHUSD,5436.67,2253.28,713465177,8.45
2016-12-15,7,CBSE,7.85,7.95,7.78,7.89,8682.980696,557,7.853529914,ETHUSD,5456.85,2262.03,675681120.3,8.23
